"Site_no","date","ParamLow","ParamHigh","Parameter","Uncen"
"01122610",1974-07-08,1.53539553271336,1.53539553271336,"Larson",1
"01122610",1974-07-08,0.801032730906971,0.801032730906971,"CSMR",1
"01122610",1974-08-05,2.02023099294457,2.02023099294457,"Larson",1
"01122610",1974-08-05,1.16817273257267,1.16817273257267,"CSMR",1
"01122610",1974-09-16,2.2700414954994,2.2700414954994,"Larson",1
"01122610",1974-09-16,0.73428000333139,0.73428000333139,"CSMR",1
"01122610",1974-10-29,4.25515494715015,4.25515494715015,"Larson",1
"01122610",1974-10-29,0.867785458482552,0.867785458482552,"CSMR",1
"01122610",1974-11-18,2.38614385976216,2.38614385976216,"Larson",1
"01122610",1974-11-18,0.844839208378446,0.844839208378446,"CSMR",1
"01122610",1974-12-02,2.58189071547187,2.58189071547187,"Larson",1
"01122610",1974-12-02,0.784344549013076,0.784344549013076,"CSMR",1
"01122610",1975-01-07,3.09096113800708,3.09096113800708,"Larson",1
"01122610",1975-01-07,1.08473182310319,1.08473182310319,"CSMR",1
"01122610",1975-02-03,3.12130705631167,3.12130705631167,"Larson",1
"01122610",1975-02-03,0.73428000333139,0.73428000333139,"CSMR",1
"01122610",1975-03-04,2.04228671752628,2.04228671752628,"Larson",1
"01122610",1975-03-04,0.917850004164238,0.917850004164238,"CSMR",1
"01122610",1975-04-07,3.2162262658923,3.2162262658923,"Larson",1
"01122610",1975-04-07,0.986119839184718,0.986119839184718,"CSMR",1
"01122610",1975-05-06,2.28735299716787,2.28735299716787,"Larson",1
"01122610",1975-05-06,1.12966154358675,1.12966154358675,"CSMR",1
"01122610",1975-06-09,1.39396472891768,1.39396472891768,"Larson",1
"01122610",1975-06-09,1.04301136836845,1.04301136836845,"CSMR",1
"01122610",1975-07-07,1.71720063222616,1.71720063222616,"Larson",1
"01122610",1975-07-07,1.08473182310319,1.08473182310319,"CSMR",1
"01122610",1975-08-18,1.50447881225188,1.50447881225188,"Larson",1
"01122610",1975-08-18,1.1473125052053,1.1473125052053,"CSMR",1
"01122610",1975-09-08,1.5593633855535,1.5593633855535,"Larson",1
"01122610",1975-09-08,1.22380000555232,1.22380000555232,"CSMR",1
"01122610",1975-10-14,4.96580959995783,4.96580959995783,"Larson",1
"01122610",1975-10-14,0.725935912384442,0.725935912384442,"CSMR",1
"01122610",1975-11-10,1.49363080374532,1.49363080374532,"Larson",1
"01122610",1975-11-10,1.02354182282557,1.02354182282557,"CSMR",1
"01122610",1975-12-08,1.4104070492826,1.4104070492826,"Larson",1
"01122610",1975-12-08,0.592430457233281,0.592430457233281,"CSMR",1
"01122610",1976-01-12,1.73896633411487,1.73896633411487,"Larson",1
"01122610",1976-01-12,0.928280117847922,0.928280117847922,"CSMR",1
"01122610",1976-02-17,2.10932200587407,2.10932200587407,"Larson",1
"01122610",1976-02-17,0.920378516572404,0.920378516572404,"CSMR",1
"01122610",1976-03-08,2.38573931880285,2.38573931880285,"Larson",1
"01122610",1976-03-08,0.809376821853919,0.809376821853919,"CSMR",1
"01122610",1976-04-12,1.56949155632485,1.56949155632485,"Larson",1
"01122610",1976-04-12,0.742624094278338,0.742624094278338,"CSMR",1
"01122610",1976-05-17,1.56025656120127,1.56025656120127,"Larson",1
"01122610",1976-05-17,0.856660003886622,0.856660003886622,"CSMR",1
"01122610",1976-06-07,1.32388479347702,1.32388479347702,"Larson",1
"01122610",1976-06-07,1.11254545959302,1.11254545959302,"CSMR",1
"01122610",1976-07-12,1.4646610375499,1.4646610375499,"Larson",1
"01122610",1976-07-12,1.33505455151162,1.33505455151162,"CSMR",1
"01122610",1976-08-16,1.23804620298208,1.23804620298208,"Larson",1
"01122610",1976-08-16,0.677641325388473,0.677641325388473,"CSMR",1
"01122610",1976-09-13,1.93185071125443,1.93185071125443,"Larson",1
"01122610",1976-09-13,1.08473182310319,1.08473182310319,"CSMR",1
"01122610",1976-11-08,2.08560729907314,2.08560729907314,"Larson",1
"01122610",1976-11-08,0.934538186058133,0.934538186058133,"CSMR",1
"01122610",1977-02-07,2.02023099294457,2.02023099294457,"Larson",1
"01122610",1977-02-07,1.16817273257267,1.16817273257267,"CSMR",1
"01122610",1977-05-02,2.13961178743761,2.13961178743761,"Larson",1
"01122610",1977-05-02,1.11254545959302,1.11254545959302,"CSMR",1
"01122610",1977-08-08,1.4060745960479,1.4060745960479,"Larson",1
"01122610",1977-08-08,1.33505455151162,1.33505455151162,"CSMR",1
"01122610",1977-11-14,1.95411995594049,1.95411995594049,"Larson",1
"01122610",1977-11-14,1.07281169317898,1.07281169317898,"CSMR",1
"01122610",1978-03-07,2.00581731185617,2.00581731185617,"Larson",1
"01122610",1978-03-07,0.917850004164238,0.917850004164238,"CSMR",1
"01122610",1978-06-14,1.54371367687243,1.54371367687243,"Larson",1
"01122610",1978-06-14,0.809376821853919,0.809376821853919,"CSMR",1
"01122610",1978-09-11,2.37085270420364,2.37085270420364,"Larson",1
"01122610",1978-09-11,0.619846756058966,0.619846756058966,"CSMR",1
"01122610",1978-12-11,1.90239061735771,1.90239061735771,"Larson",1
"01122610",1978-12-11,1.05691818661336,1.05691818661336,"CSMR",1
"01122610",1979-03-14,2.72300427643842,2.72300427643842,"Larson",1
